Threshold,Target,Target_Str,Signals,Wins,Win_Rate,Win_Rate_Str,Avg_Breakout,Avg_Days,Expected_Return,Expected_Return_Str
0.1,0.06,%6,1624,1040,64.0,%64.0,12.6,10.3,3.84,%3.84
0.1,0.08,%8,1624,875,53.9,%53.9,12.6,12.4,4.31,%4.31
0.1,0.1,%10,1624,731,45.0,%45.0,12.6,13.9,4.5,%4.50
0.1,0.12,%12,1624,617,38.0,%38.0,12.6,15.1,4.56,%4.56
0.1,0.15,%15,1624,491,30.2,%30.2,12.6,16.9,4.54,%4.54
0.1,0.2,%20,1624,314,19.3,%19.3,12.6,18.2,3.87,%3.87
0.15,0.06,%6,2973,1926,64.8,%64.8,17.04,10.7,3.89,%3.89
0.15,0.08,%8,2973,1631,54.9,%54.9,17.04,12.4,4.39,%4.39
0.15,0.1,%10,2973,1360,45.7,%45.7,17.04,14.0,4.57,%4.57
0.15,0.12,%12,2973,1160,39.0,%39.0,17.04,15.1,4.68,%4.68
0.15,0.15,%15,2973,933,31.4,%31.4,17.04,16.5,4.71,%4.71
0.15,0.2,%20,2973,619,20.8,%20.8,17.04,18.2,4.16,%4.16
0.2,0.06,%6,4333,2818,65.0,%65.0,15.79,10.8,3.9,%3.90
0.2,0.08,%8,4333,2389,55.1,%55.1,15.79,12.6,4.41,%4.41
0.2,0.1,%10,4333,2019,46.6,%46.6,15.79,14.1,4.66,%4.66
0.2,0.12,%12,4333,1717,39.6,%39.6,15.79,15.1,4.76,%4.76
0.2,0.15,%15,4333,1364,31.5,%31.5,15.79,16.5,4.72,%4.72
0.2,0.2,%20,4333,902,20.8,%20.8,15.79,18.2,4.16,%4.16
0.25,0.06,%6,5574,3624,65.0,%65.0,15.09,10.7,3.9,%3.90
0.25,0.08,%8,5574,3078,55.2,%55.2,15.09,12.5,4.42,%4.42
0.25,0.1,%10,5574,2606,46.8,%46.8,15.09,14.1,4.68,%4.68
0.25,0.12,%12,5574,2246,40.3,%40.3,15.09,15.2,4.84,%4.84
0.25,0.15,%15,5574,1766,31.7,%31.7,15.09,16.5,4.75,%4.75
0.25,0.2,%20,5574,1156,20.7,%20.7,15.09,18.4,4.15,%4.15
0.3,0.06,%6,6769,4410,65.1,%65.1,14.81,10.7,3.91,%3.91
0.3,0.08,%8,6769,3767,55.7,%55.7,14.81,12.6,4.45,%4.45
0.3,0.1,%10,6769,3213,47.5,%47.5,14.81,14.2,4.75,%4.75
0.3,0.12,%12,6769,2738,40.4,%40.4,14.81,15.2,4.85,%4.85
0.3,0.15,%15,6769,2151,31.8,%31.8,14.81,16.4,4.77,%4.77
0.3,0.2,%20,6769,1401,20.7,%20.7,14.81,18.4,4.14,%4.14
